"guid","number","mcc","mnc","ocn","operator","operatorID","operatorType","wireless","country","countryCode","countryAbbreviation","countryUTCOffsetStart","countryUTCOffsetEnd","state","stateAbbreviation","city","timezone","daylightSavingTimeObserver","validNumber","lastUpdated"
"c981fb16-1cd4-4112-82f1-d58e8ea0b0b0","12345678910","","","","FIRST COMMUNICATIONS LLC","382637","Fixed","","United States of America","1","US","-4","10","Ohio","OH","Salem","-5","1","true","2017-03-07T12:14:14.828Z"
"c65fe8d1-36d3-4107-82c4-07bc3486f289","98765432111","","","","","","","","","","","","","","","","","","false","2017-03-07T12:14:15.062Z"
"55c0df7d-cb4c-4d5e-8436-616d694007d4","12345678910","","","","FIRST COMMUNICATIONS LLC","382637","Fixed","","United States of America","1","US","-4","10","Ohio","OH","Salem","-5","1","true","2017-03-07T12:14:15.218Z"
"99c7fb8b-6bbb-4910-8277-892c298f7bd2","98765432111","","","","","","","","","","","","","","","","","","false","2017-03-07T12:14:15.452Z"
"8b8dad4d-886c-4d3a-8ed6-ed368d6cacc4","12345678910","","","","FIRST COMMUNICATIONS LLC","382637","Fixed","","United States of America","1","US","-4","10","Ohio","OH","Salem","-5","1","true","2017-03-07T12:14:15.639Z"
"f12181aa-1c03-4a23-b495-a969f1c10ad6","98765432111","","","","","","","","","","","","","","","","","","false","2017-03-07T12:14:15.810Z"
"977f6b09-3d08-4bcd-ae22-445df7583972","12345678910","","","","FIRST COMMUNICATIONS LLC","382637","Fixed","","United States of America","1","US","-4","10","Ohio","OH","Salem","-5","1","true","2017-03-07T12:14:15.998Z"
"3da33188-3e52-4b96-a497-7d3cc75e8625","98765432111","","","","","","","","","","","","","","","","","","false","2017-03-07T12:14:16.216Z"
"8fe73378-5b48-441b-aef0-8026d2f1b35f","12345678910","","","","FIRST COMMUNICATIONS LLC","382637","Fixed","","United States of America","1","US","-4","10","Ohio","OH","Salem","-5","1","true","2017-03-07T12:14:16.403Z"
"031e2348-60b1-44d7-9276-9080486dda68","98765432111","","","","","","","","","","","","","","","","","","false","2017-03-07T12:14:16.559Z"
"4ce73e3f-5bc0-4868-b3a9-ca64aebe6be0","12345678910","","","","FIRST COMMUNICATIONS LLC","382637","Fixed","","United States of America","1","US","-4","10","Ohio","OH","Salem","-5","1","true","2017-03-07T12:14:16.746Z"
"ba5c480a-66cd-466a-8726-a42cf64c043a","98765432111","","","","","","","","","","","","","","","","","","false","2017-03-07T12:14:16.965Z"
"1cd341db-de76-47a0-a35d-d7dc72e71ea8","12345678910","","","","FIRST COMMUNICATIONS LLC","382637","Fixed","","United States of America","1","US","-4","10","Ohio","OH","Salem","-5","1","true","2017-03-07T12:14:17.121Z"
"60c8e044-5735-41c7-aa77-e58c305c3a00","98765432111","","","","","","","","","","","","","","","","","","false","2017-03-07T12:14:17.292Z"
"2e07bb3b-ca3a-4795-a136-7b140a586cfc","12345678910","","","","FIRST COMMUNICATIONS LLC","382637","Fixed","","United States of America","1","US","-4","10","Ohio","OH","Salem","-5","1","true","2017-03-07T12:14:17.480Z"
"1bd0aca2-d6db-4eb3-826b-0a0dc2478976","98765432111","","","","","","","","","","","","","","","","","","false","2017-03-07T12:14:17.651Z"
"68fc5482-d487-42f4-be0f-b74b39cfbf92","12345678910","","","","FIRST COMMUNICATIONS LLC","382637","Fixed","","United States of America","1","US","-4","10","Ohio","OH","Salem","-5","1","true","2017-03-07T12:14:17.807Z"
"f02aba4b-3689-4a95-8e2d-757aa7a0e228","98765432111","","","","","","","","","","","","","","","","","","false","2017-03-07T12:14:17.979Z"
"f041f6a0-b6c6-491b-8def-c630b9041abf","12345678910","","","","FIRST COMMUNICATIONS LLC","382637","Fixed","","United States of America","1","US","-4","10","Ohio","OH","Salem","-5","1","true","2017-03-07T12:14:18.166Z"
"61fcdb92-b2eb-44e2-918c-6916124a4ce3","98765432111","","","","","","","","","","","","","","","","","","false","2017-03-07T12:14:18.384Z"
"bcbb646a-e62b-40b3-a36e-b180919f7228","12345678910","","","","FIRST COMMUNICATIONS LLC","382637","Fixed","","United States of America","1","US","-4","10","Ohio","OH","Salem","-5","1","true","2017-03-07T12:14:18.540Z"
"998ef718-5da7-44f9-ba2a-0846a76fdba0","98765432111","","","","","","","","","","","","","","","","","","false","2017-03-07T12:14:18.712Z"
"6662fa77-8eed-4bcf-94ce-225c05d290db","12345678910","","","","FIRST COMMUNICATIONS LLC","382637","Fixed","","United States of America","1","US","-4","10","Ohio","OH","Salem","-5","1","true","2017-03-07T12:14:18.868Z"
"7792b8ba-688f-4519-9dd6-72b45553e586","98765432111","","","","","","","","","","","","","","","","","","false","2017-03-07T12:14:19.040Z"
"bceaa142-d9f6-4e44-839f-ff769f6f266e","12345678910","","","","FIRST COMMUNICATIONS LLC","382637","Fixed","","United States of America","1","US","-4","10","Ohio","OH","Salem","-5","1","true","2017-03-07T12:14:19.227Z"
"ce8cdc06-7e29-4c68-9b76-2796cce5dc6d","98765432111","","","","","","","","","","","","","","","","","","false","2017-03-07T12:14:19.445Z"
"28910254-08aa-4ef3-896c-544d7b2a82fb","12345678910","","","","FIRST COMMUNICATIONS LLC","382637","Fixed","","United States of America","1","US","-4","10","Ohio","OH","Salem","-5","1","true","2017-03-07T12:14:19.617Z"
"ff6176cf-90af-48e1-874d-fa4baa547685","98765432111","","","","","","","","","","","","","","","","","","false","2017-03-07T12:14:19.773Z"
"9a157e1c-b4c2-45c6-b32e-7ca5f348615c","12345678910","","","","FIRST COMMUNICATIONS LLC","382637","Fixed","","United States of America","1","US","-4","10","Ohio","OH","Salem","-5","1","true","2017-03-07T12:14:19.944Z"
"9373f08d-83d4-4438-b95c-fd440f9e0dbe","98765432111","","","","","","","","","","","","","","","","","","false","2017-03-07T12:14:20.256Z"
"e1d5bbb2-51de-49a9-b176-b00cf9ce18e8","12345678910","","","","FIRST COMMUNICATIONS LLC","382637","Fixed","","United States of America","1","US","-4","10","Ohio","OH","Salem","-5","1","true","2017-03-07T12:14:20.428Z"
"80bf1465-8b43-4923-9c05-b4c718dcb9a7","98765432111","","","","","","","","","","","","","","","","","","false","2017-03-07T12:14:20.631Z"
"092a5724-28fe-40b2-8ccb-2e5a5222fd74","12345678910","","","","FIRST COMMUNICATIONS LLC","382637","Fixed","","United States of America","1","US","-4","10","Ohio","OH","Salem","-5","1","true","2017-03-07T12:14:20.834Z"
"2bd9b8a7-01a7-492a-ad72-915ba093bd33","98765432111","","","","","","","","","","","","","","","","","","false","2017-03-07T12:14:21.036Z"
"4fd9a4ec-415b-4094-86e7-119bfbc4b1ac","12345678910","","","","FIRST COMMUNICATIONS LLC","382637","Fixed","","United States of America","1","US","-4","10","Ohio","OH","Salem","-5","1","true","2017-03-07T12:14:21.192Z"
